SPOT_ID,FRAME,POSITION_X,POSITION_Y
9376,141,311.67439988221867,94.15136543824185
9377,141,98.16470847219996,97.57529042487188
9378,141,316.63142902381355,100.71780115758085
9379,141,298.4901321119152,105.21516362956751
9380,141,248.20081842924313,108.52424751784608
9381,141,96.32647472861802,116.28255729533684
9382,141,271.16217121097935,127.66472449829102
9383,141,340.9929408538,137.66120303432467
9384,141,198.98394688906882,151.60051520799075
9385,141,207.6940165010248,154.87505740009962
9386,141,397.51542202977436,155.6987809485345
9387,141,199.89179941824622,180.06865863561436
9388,141,425.4619952658967,185.5516267073208
9389,141,376.1907166261974,196.07543668870113
9390,141,382.3041565250288,203.31027844643648
9391,141,184.86907267618997,204.94941773093544
9392,141,139.20186005622028,232.9518449790655
9393,141,339.30973021741903,235.69760438895315
9394,141,417.1493434676305,240.63014683391862
9395,141,299.84534069900207,252.06952125948317
9396,141,397.3908179858975,252.23618820260887
9397,141,145.34639314873183,261.9258780575866
9398,141,151.45094918422456,267.4557570077219
9399,141,246.88723758383205,317.38719129751485
9400,142,442.7500088550002,0.0
9401,142,160.27221883028946,21.64881855031613
9402,142,65.08530237653319,31.03900601827687
9403,142,183.86008096944622,47.42904664375343
9404,142,420.0310303040571,75.12218156188935
9405,142,409.5435832667321,76.22114171347546
9406,142,308.84660423182294,87.27371995824804
9407,142,317.4347391246472,91.78105376793933
9408,142,98.52592001564533,94.4981224420169
9409,142,296.20394165757773,102.02442616629031
9410,142,248.1530491089682,108.32866476642401
9411,142,96.27320394286016,116.16860795610759
9412,142,271.0697133583557,127.71927712251802
9413,142,264.89555862343195,136.00634862236538
9414,142,340.9160710542662,137.5786134075749
9415,142,235.48920390937178,143.47314112577396
9416,142,206.82955498052118,154.3423644855643
9417,142,396.92110419977735,154.49181186358416
9418,142,386.49000897575104,156.70431686963158
9419,142,199.76712007601088,180.0761784684598
9420,142,424.8426483987178,184.45762866199775
9421,142,373.2661583729383,195.41639305883413
9422,142,379.5181108998603,201.77942709447058
9423,142,141.10028252629652,234.75953503408644
9424,142,339.2056904607881,235.7497653513428
9425,142,417.07619676538974,240.57097696601718
9426,142,306.1237624416475,244.28400350110482
9427,142,49.0967569603922,250.6144923812329
9428,142,396.09858473162836,251.91767020087843
9429,142,144.07246121124132,257.4741796139776
9430,142,149.2501667977435,265.3846413364331
9431,142,247.79122629681848,318.6417080035861
9432,143,433.0900086618002,0.0
9433,143,442.7500088550002,0.32200000644000015
9434,143,154.12048155018988,26.497475879158927
9435,143,62.89982551548137,32.55085444011845
9436,143,183.6663680281347,47.748278139498844
9437,143,419.64559569848797,75.05424615375567
9438,143,315.40680427435416,80.74707108703365
9439,143,307.9321850237957,90.11529766137323
9440,143,318.9179900497501,91.02684375470102
9441,143,100.50765536199376,100.98977628169746
9442,143,248.4276278427247,107.97187231458204
9443,143,95.90103909479947,116.11930152863347
9444,143,270.35579309659977,128.89290327277277
9445,143,263.93509097737683,135.22189675604218
9446,143,340.5293057955758,137.58357427732997
9447,143,256.8048164788369,139.2727650890705
9448,143,235.74479787927496,143.8358262948023
9449,143,206.30664060181797,154.11486450325228
9450,143,396.213291966863,156.08177996313293
9451,143,385.9979683260788,158.72458503585548
9452,143,199.7102484585827,179.99603257263965
9453,143,424.8573985357865,185.58190719525396
9454,143,376.45622283330056,198.86368458002264
9455,143,142.4586192365806,230.22976762157904
9456,143,338.85612174149077,236.04828679586345
9457,143,416.73900421478584,240.43708461323854
